"","Hybrid_ID","Nfinal","Phyllochron","Leaf_tip_emerg","First_LiguloChrone","tt_firstligule_sinceapp","c","a","potKernelWt","GNmax","GrainNoMax","Res.Tnight","resp.Ri","GN15cor","rRAD"
"87","F7025_H",16,0.0255456416234508,3.34363727658569,0.0157494435129443,55.7883835082225,6.31644480396993,4.89310479068215,353.928004633736,502.799227774339,4004.5237872078,-343.788458833225,4866.68636260418,7.59777320948355,0.41
"88","F7028_H",16,0.0234007792083118,3.55085900614713,0.016941698862914,50.1451391321967,5.31263469912845,4.6356212159549,382.091717842681,669.045336532509,4600.2204781954,-337.757568189334,5148.735035715,7.00331713295541,0.54
"89","F7057_H",16,0.0230059949363187,3.49292899928308,0.0149578126516282,58.3820809780532,5.85331173577574,4.49885359235361,365.399261265743,566.211278088509,4206.07705038994,-310.929273646152,4861.54623428694,7.80184005108338,NA
"90","F7058_H",16,0.0215759523445752,3.4877637823211,0.014982850098208,60.3655729063548,4.8023617554017,4.7112540789082,315.21093792447,625.229208748485,4300.42989900322,-320.413286814162,4569.27220354844,6.45105144101553,0.39
"91","F7081_H",17,0.024775563319694,3.62471130709584,0.0176034536787238,73.8440190712488,7.59174302638861,5.81448696651634,429.413729353358,662.047203743545,4790.09154704905,-371.806146072716,4767.94372738208,5.10992590342061,0.85
"92","F7082_H",16,0.0232348969983432,3.80693950686095,0.0144403433962718,12.5466769071517,6.21279590321801,5.32491493515858,335.928946543205,677.709623946438,3978.15549256559,-322.620092836987,4557.20166194775,4.51159151563671,0.24
"93","F712_H",17,0.0245691105908593,3.12717042699038,0.0182336512637617,73.660790330271,5.42265240955999,5.00001114296331,339.981125857483,579.041416957393,4357.29778037304,-403.715097706741,4951.49806368303,7.86880789646521,0.01
"94","F748_H",16,0.0218480357620921,3.27772092326066,0.0150249790971708,65.84634115675,3.66349667620545,4.36283689687507,370.402168251363,557.802717623726,4701.88743039481,-340.123319284246,5187.27058081031,9.45927326727433,0.45
"95","F752_H",16,0.0236188695046122,3.68657019284149,0.0136908976973603,30.0116926554021,3.28160158062707,4.21297247993242,428.796221961573,599.362801221223,4657.22232997686,-325.798237663198,4883.44918354311,10.3309414503287,0.38
"96","F816_H",15,0.0221193948652399,3.29201012222356,0.014227923363295,59.9128248209095,5.22566364138393,4.83271406533884,384.518363721946,472.240420389206,3071.16687145547,NA,NA,NA,NA
"97","F838_H",17,0.0210672134345743,3.26404387512852,0.0137961830653771,59.1550299423195,5.33280796859222,5.54355671383484,329.284958410142,604.178501730233,4453.85555413591,-281.794563937904,4371.33121866532,8.08191093694228,1.07
"98","F874_H",15,0.0227385054098918,3.52707745794319,0.0150643300995097,60.8650568807372,4.54600911432007,4.44724930511548,376.385143793845,426.762267885971,3194.66311110814,-342.461391068668,4428.68637832017,5.15639990578013,0.17
"99","F888_H",16,0.0261288268464476,3.40194713918314,0.0166276791720873,52.8150283333527,4.78981634181625,4.85259506155136,361.158585309586,518.953450048899,4246.43473260338,-370.886032514791,5251.5835111669,10.1626179518961,0.7
