"","Hybrid_ID","Nfinal","Phyllochron","Leaf_tip_emerg","First_LiguloChrone","tt_firstligule_sinceapp","c","a","potKernelWt","GNmax","GrainNoMax","Res.Tnight","resp.Ri","GN15cor","SensiRAD","b"
"50","EP29_H",16,0.0223545997430918,3.19628316804521,0.0142794445306837,67.7121633464397,3.98029534225453,4.30467511340621,351.68742409081,589.174257868787,4799.24807604169,-377.360495967306,5130.78808521549,6.98193786624344,0.31,-0.668906386942894
"51","EP51_H",16,0.0259563596789672,3.21906294675187,0.0163954197133681,68.6421374051755,5.0237493298469,5.02273217804844,334.36047785053,421.211065916482,3555.02139633511,-286.193836637158,4206.12139007151,8.7256719119288,0.25,-0.748000199202395
"55","EP72_H",16,0.0221147591223292,3.30594748224962,0.0142698996779788,54.6941504535371,3.49895259614983,4.17639787188487,290.396270334831,574.948946693688,4852.56911009473,-376.055025760382,4534.97917399783,6.50006628473697,0.62,-0.632420606788157
"56","EP77_H",15,0.0238917452633487,3.39366784410946,0.0163954197133681,68.6421374051755,4.63705010491137,5.69227921846798,296.243191308032,501.968616085913,4042.35469093309,-355.373570447106,5462.26746452231,9.37777395342458,0.36,-0.718688397952282
"59","EZ31_H",17,0.025615026743118,3.35272833907303,0.0169574774783,62.1041138034753,5.44080886685894,5.08563268288443,370.413382394587,558.453924520621,4713.35112295404,-373.024751404849,5078.05523210887,9.77444900508948,0.69,-0.779613312107908
"61","EZ36_H",16,0.0220031973621526,3.19566353138524,0.0152921102590336,69.528017495823,6.120358106426,4.87779061898448,345.479714107886,560.94259824779,4499.6082360883,-246.703752942873,4450.10531068553,8.68497784227104,0.05,-0.831123144467091
"62","EZ37_H",17,0.0257904604769541,3.29514611900611,0.0175876750633378,62.3348168935213,2.76323692585356,4.25385521753417,398.715744066874,577.250377748274,4700.37895291637,-392.903531485456,4823.6828687015,6.30871731464796,0.29,-0.5766533589797
"63","EZ38_H",16,0.0241824412598384,3.0232486103312,0.0147685173792649,66.3856915640197,7.01976583014292,6.17464505488969,393.250294791624,557.395895566478,4704.42135858107,-340.454346966291,4786.77804516891,8.63437928989407,0.29,-0.899298249924833
"64","EZ40_H",16,0.0218017584900508,3.3659453918911,0.0149939974825111,67.4964303733021,2.53218984665424,3.70760829413177,324.109693556028,761.018789146681,4818.54916104333,-335.023435872116,5034.23388142693,8.27258254494177,0.27,-0.559139990376391
"66","EZ47_H",15,0.024172590447133,3.2250500133386,0.0161312279000263,66.8937826058375,7.03601131404152,5.47437159887303,350.445156307132,620.746782756496,3715.79705165066,-286.964023849897,5136.7322900412,10.6534093486024,0.68,-0.900529657604348
"68","F04401_H",16,0.0214635000910642,3.29231192154329,0.0135920888900597,48.1105706167579,5.54247547971526,4.244810959342,392.246724865996,617.098911053032,4452.60211155858,-274.00749512739,4160.9664618188,6.19314739105397,0.83,-0.787319641362417
"69","F04402_H",16,0.0229999186500298,3.42131288770788,0.0139688165449374,57.6283953920823,4.98865280289157,4.13132523000675,410.390455217029,497.724994861158,4004.90540110578,-261.189164902458,3990.01425071399,6.83081327911419,1.35,-0.745339882459181
"71","F04702_H",15,0.0221022517054775,3.38053068837436,0.0144434978896579,63.4633521938358,5.71351667646702,5.123821603737,401.018103487461,554.896844686989,4683.32936915819,-396.305941147708,4812.73365926072,7.84711269964204,0.89,-0.8002845640762
